step,1,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_per_token_ms/ref,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/adv,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing,timing_s/save_checkpoint,eval_pass,call,causci/control_acc,causci/effect_acc,causci/method_acc,causci/mre,causci/outcome_acc,causci/treatment_acc,cladder/overall_acc,cladder/rung1_acc,cladder/rung2_acc,cladder/rung3_acc
0.0,-0.40599124418322446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,26164.0,33308.0,7144.0,30155.0,30156.0,30155.25,0.06389037519693375,0.0,0.01,0.0005880171619355677,0.0,0.0,0.0,0.03811347112059593,0.12583251086734856,78.87506103515625,80.19921875,324.9794921875,2e-05,1.0,0.0,-0.6362500190734863,1.0,-1.0,-0.6362500190734863,1.0,-1.0,0.004279383458197117,1.499993920326233,-1.499993920326233,0.004279383458197117,1.499993920326233,-1.499993920326233,223.71249389648438,649.0,110.0,0.0,223.71249389648438,649.0,110.0,0.0,0.0,1284.050048828125,2114.0,1101.0,0.0,0.00012905100447824225,4.325925827026367,6.67767858505249,2.3301830291748047,0.25,18.290663175997906,10.294108046000474,2.572395745002723,1.6501533400005428,0.002007386996410787,12.600083073004498,45.419020168003044,3.0303002859000117e-05,0.013680481342390983,1.021996042688602,0.10446011119957967,1.664210209176501e-05,120621.0,45.419020168003044,663.9344021173729,,,,,,,,,,,,,,
2.0,,26602.0,32209.0,5607.0,29135.0,29243.0,29162.25,0.0777725875377655,0.00011229006666951592,0.01,-0.0015053828060626981,0.0,0.0,0.0,0.03169906511902809,0.1248972617944285,79.66600513458252,81.26953125,321.2701416015625,2e-05,2.0,0.0,-0.8550000190734863,0.4000000059604645,-1.0,-0.8550000190734863,0.4000000059604645,-1.0,0.0010757192503660917,1.499993920326233,-1.499993920326233,0.0010757192503660917,1.499993920326233,-1.499993920326233,267.26251220703125,1223.0,127.0,0.0,267.26251220703125,1223.0,127.0,0.0,0.0,1190.8499755859375,1964.0,1103.0,0.0,2.694300201255828e-05,7.487495422363281,11.787734985351562,2.971867084503174,0.25,23.458360040000116,0.9525511429965263,2.357460268998693,1.557724086997041,0.001773570998921059,12.251334066000709,40.58180241299851,2.847999712685123e-05,0.013353942914187357,1.0971591618726961,0.10502733899133905,1.5204339505019838e-05,116649.0,40.58180241299851,718.6041098721435,,,,,,,,,,,,,,
3.0,,27877.0,29369.0,1492.0,28687.0,28687.0,28687.0,0.05952097848057747,0.00016384579246732757,0.01,0.0003424278250895443,0.0,0.0,0.0,0.04736755043268204,0.1220109670814703,79.66600513458252,81.26953125,320.0489501953125,2e-05,3.0,0.0,-0.9281250238418579,0.75,-1.0,-0.9281250238418579,0.75,-1.0,-0.0029289070516824722,1.4999982118606567,-1.499993920326233,-0.0029289070516824722,1.4999982118606567,-1.499993920326233,277.6000061035156,948.0,111.0,0.0,277.6000061035156,948.0,111.0,0.0,0.0,1156.75,1284.0,1101.0,0.0,2.345500251976773e-05,7.335153579711914,9.26864242553711,4.365983486175537,0.25,21.384016132004035,1.0633296060041175,2.293695883003238,1.567228004001663,0.0017678739968687296,12.320273325000016,38.63323811600276,7.337400165852159e-05,0.013657998431359702,0.9628969800073863,0.10736808767908823,1.5406577865136904e-05,114748.0,38.63323811600276,742.5471277831407,,,,,,,,,,,,,,
4.0,,27501.0,32250.0,4749.0,29170.0,29172.0,29171.0,0.04961423948407173,0.00012236037131515334,0.01,1.245578750967962e-05,0.0,0.0,0.0,0.03741054981946945,0.12475605078060625,79.66600513458252,81.31640625,329.0162353515625,2e-05,4.0,0.0,-0.8862500190734863,0.4000000059604645,-1.0,-0.8862500190734863,0.4000000059604645,-1.0,-0.011646118015050888,1.499993920326233,-0.8660224080085754,-0.011646118015050888,1.499993920326233,-0.8660224080085754,256.8999938964844,1010.0,116.0,0.0,256.8999938964844,1010.0,116.0,0.0,0.0,1201.6500244140625,2227.0,1099.0,0.0,2.5023000489454716e-05,6.598580837249756,9.805395126342773,3.870122194290161,0.25,21.657585683002253,0.9317987879985594,2.296060574997682,1.6257556389973615,0.0017493159975856543,12.273713307004073,38.78921902699949,2.803099778247997e-05,0.013932978291774036,1.0537945544473655,0.10518762904086312,1.4991909752713776e-05,116684.0,38.78921902699949,752.0388585213674,,,,,,,,,,,,,,
5.0,,25900.0,33164.0,7264.0,28404.0,29305.0,28629.5,0.08439043164253235,0.00015432897191203665,0.01,0.0015117019554600126,0.0,0.0,0.0,0.06090997904539108,0.12152206131407661,88.7075424194336,90.21875,335.1942138671875,2e-05,5.0,0.0,-0.887499988079071,0.75,-1.0,-0.887499988079071,0.75,-1.0,-0.008049027994275093,1.499993920326233,-0.8660245537757874,-0.008049027994275093,1.499993920326233,-0.8660245537757874,285.4750061035156,2250.0,91.0,0.012500000186264515,285.4750061035156,2250.0,91.0,0.012500000186264515,0.0,1146.0,1286.0,1101.0,0.0,4.111800080863759e-05,9.615851402282715,21.669921875,2.5994620323181152,0.25,33.393864677003876,1.0076158899973962,2.314386690995889,1.5880096289984067,0.0017934420029632747,12.360175098001491,50.668399068003055,2.8574999305419624e-05,0.013866899779933344,1.462206177292402,0.10793215999232864,1.5660786976399123e-05,114518.0,50.668399068003055,565.0366012467807,,,,,,,,,,,,,,
6.0,,28602.0,33628.0,5026.0,30355.0,30356.0,30355.25,0.06071208789944649,0.0001439006162581791,0.01,0.00194226048886776,0.0,0.0,0.0,0.06991627812385559,0.13074221834608174,88.7075424194336,90.21875,323.3890380859375,2e-05,6.0,0.0,-0.7024999856948853,1.0,-1.0,-0.7024999856948853,1.0,-1.0,-0.014619475230574608,1.4999949932098389,-1.499993920326233,-0.014619475230574608,1.4999949932098389,-1.499993920326233,264.1625061035156,834.0,108.0,0.0,264.1625061035156,834.0,108.0,0.0,0.0,1253.5999755859375,2227.0,1101.0,0.0,2.5151006411761045e-05,6.570054054260254,8.273537635803223,5.424768924713135,0.25,20.43290594100108,0.9152811710009701,2.330937733997416,1.6397911950043635,0.0017686740029603243,12.212421156997152,37.53568776699831,2.7934998797718436e-05,0.013505004859162447,0.9668719983438736,0.10057915152236559,1.4566458874167765e-05,121421.0,37.53568776699831,808.703711210231,,,,,,,,,,,,,,
7.0,,25929.0,31655.0,5726.0,29309.0,29310.0,29309.5,0.06102596968412399,0.00011343852223944851,0.01,3.3546648919582274e-05,0.0,0.0,0.0,0.02589009329676628,0.12513034671952974,88.7075424194336,90.21875,325.33880615234375,2e-05,7.0,0.0,-0.7406250238418579,1.0,-1.0,-0.7406250238418579,1.0,-1.0,0.0017326365923509002,1.4999982118606567,-0.8660224080085754,0.0017326365923509002,1.4999982118606567,-0.8660224080085754,271.92498779296875,1001.0,91.0,0.0,271.92498779296875,1001.0,91.0,0.0,0.0,1193.550048828125,1866.0,1104.0,0.0,2.4031003704294562e-05,6.502006530761719,9.971872329711914,2.5350687503814697,0.25,21.92648535600165,1.1432136229996104,2.295043939993775,1.632064839002851,0.0017205170006491244,12.28894116000447,39.29001834000519,2.7902999136131257e-05,0.013920954289589135,1.0079289030064196,0.10482046060154958,1.4675420944140333e-05,117238.0,39.29001834000519,745.9782723022299,,,,,,,,,,,,,,
8.0,,26634.0,30765.0,4131.0,28399.0,28399.0,28399.0,0.07963434606790543,0.00020783730422408553,0.01,-0.0027761877188459036,0.0,0.0,0.0,0.059199023991823196,0.12189064714468267,88.7075424194336,90.21875,320.36083984375,2e-05,8.0,0.0,-0.831250011920929,-0.5,-1.0,-0.831250011920929,-0.5,-1.0,-0.009466467425227165,1.499993920326233,-1.499993920326233,-0.009466467425227165,1.499993920326233,-1.499993920326233,273.25,950.0,123.0,0.0,273.25,950.0,123.0,0.0,0.0,1146.699951171875,1290.0,1107.0,0.0,2.6782996428664774e-05,5.54396915435791,9.440329551696777,3.4794442653656006,0.25,21.239981227998214,0.9983328210000764,2.280780410997977,1.5154119709986844,0.002239250999991782,12.203123115999915,38.24265071700211,3.628699778346345e-05,0.01334036384202511,0.9716368356815286,0.10742564100848546,1.971241064818992e-05,113596.0,38.24265071700211,742.6001981440642,,,,,,,,,,,,,,
9.0,,29723.0,33264.0,3541.0,31154.0,31155.0,31154.25,0.056122053414583206,0.0002690260243980447,0.01,0.002015312425792218,0.0,0.0,0.0,0.028920453041791916,0.1333727604646331,88.7075424194336,90.21875,334.94024658203125,2e-05,9.0,0.0,-0.6737500429153442,1.0,-1.0,-0.6737500429153442,1.0,-1.0,-0.010174688883125782,1.499993920326233,-1.499993920326233,-0.010174688883125782,1.499993920326233,-1.499993920326233,295.4624938964844,1325.0,121.0,0.0,295.4624938964844,1325.0,121.0,0.0,0.0,1262.25,2143.0,1097.0,0.0,3.5774995922110975e-05,9.211837768554688,12.86642074584961,3.5613627433776855,0.25,24.823371883001528,0.9326782619973528,2.3241229109989945,1.7054330070022843,0.0022758889972465113,12.317730431997916,42.110206113997265,5.500599945662543e-05,0.01368539610969839,1.0501913052841532,0.09884470362789921,1.826307002452724e-05,124617.0,42.110206113997265,739.8265854045404,,,,,,,,,,,,,,
